9.82E+02,9.65E+02,2.40E+02,7.77E-01
8.65E+02,3.11E+02,1.13E+02,5.21E-01
1.00E+03,5.39E+02,2.25E+02,7.48E-01
1.22E+03,3.76E+02,2.48E+02,8.62E-01
7.56E+02,1.59E+02,2.86E+02,9.50E-01
3.44E+02,8.63E+02,1.85E+02,2.72E-01
3.69E+02,7.02E+02,1.49E+02,3.19E-01
9.45E+02,1.40E+03,2.44E+02,6.97E-01
9.45E+02,7.93E+02,1.25E+02,5.68E-01
7.81E+02,2.13E+02,2.79E+02,1.27E+00
1.00E+01,1.00E+01,1.00E+02,2.30E-01
1.00E+01,1.50E+03,3.00E+02,2.53E-02
1.50E+03,1.23E+03,1.00E+02,2.61E-01
6.39E+02,4.61E+02,3.00E+02,9.49E-01
1.50E+03,7.79E+02,3.00E+02,8.27E-01
1.50E+03,1.00E+01,1.00E+02,3.67E-01
1.07E+03,1.19E+02,3.00E+02,1.12E+00
4.73E+02,1.50E+03,1.00E+02,1.30E-01
1.00E+01,4.63E+02,3.00E+02,7.25E-02
1.31E+03,1.50E+03,3.00E+02,9.80E-01
9.61E+02,3.20E+02,3.00E+02,1.10E+00
1.00E+01,8.23E+02,1.00E+02,7.06E-02
1.28E+03,6.53E+02,1.00E+02,5.26E-01
1.50E+03,4.75E+02,3.00E+02,1.11E+00
1.17E+03,7.56E+02,3.00E+02,7.62E-01
6.42E+02,1.15E+03,3.00E+02,7.11E-01
1.30E+03,1.00E+01,3.00E+02,1.52E+00
1.19E+03,1.20E+03,3.00E+02,7.34E-01
1.45E+03,2.23E+02,3.00E+02,1.16E+00
1.16E+03,1.50E+03,1.00E+02,3.49E-01
1.40E+03,1.00E+01,3.00E+02,1.09E+00
1.24E+03,1.00E+01,3.00E+02,8.01E-01
1.31E+03,7.80E+01,3.00E+02,7.96E-01
1.34E+03,1.00E+01,3.00E+02,8.25E-01
